Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,TB,Rotation,Comment
UART1,MHDR1X4,121.1448mm,10.6018mm,119.2398mm,10.6018mm,119.2398mm,10.6018mm,T,360,MHDR1X4
R2,R1608[0603],104.8634mm,14.485mm,104.8634mm,14.485mm,104.8634mm,13.635mm,T,90,10k
Y1,Crystal_C,52.4632mm,17.152mm,52.4632mm,17.152mm,52.4632mm,18.352mm,T,270,CRYSTAL
R7,R1608[0603],24.2438mm,17.8378mm,24.2438mm,17.8378mm,24.2438mm,16.9878mm,B,90,RES1
R9,R1608[0603],61.9628mm,17.9648mm,61.9628mm,17.9648mm,61.9628mm,17.1148mm,B,90,0
T1,SOP-8,29.3492mm,18.6506mm,32.1432mm,16.7456mm,32.1432mm,16.7456mm,T,180,T3168
U1,TQFP144_N,67.5mm,20.6318mm,67.5mm,20.6318mm,56.95mm,29.3818mm,T,360,STM32F407ZET6
R5,R1608[0603],25.2598mm,22.7146mm,25.2598mm,22.7146mm,26.1098mm,22.7146mm,B,180,RES1
R3,R1608[0603],27.7744mm,22.7654mm,27.7744mm,22.7654mm,28.6244mm,22.7654mm,T,180,RES1
R6,R1608[0603],31.3812mm,22.7654mm,31.3812mm,22.7654mm,32.2312mm,22.7654mm,T,180,RES1
R4,R1608[0603],31.4066mm,27.185mm,31.4066mm,27.185mm,30.5566mm,27.185mm,T,360,10k
R1,R1608[0603],62.1914mm,27.693mm,62.1914mm,27.693mm,62.1914mm,26.843mm,B,90,10k
RP1,R1608[0603]_-_PACK4,7.5973mm,59.5692mm,7.6068mm,59.5192mm,6.2638mm,60.4352mm,B,270,ResPack
RP2,R1608[0603]_-_PACK4,15.5255mm,59.5692mm,15.535mm,59.5192mm,14.192mm,60.4352mm,B,270,ResPack
RP3,R1608[0603]_-_PACK4,23.4537mm,59.5692mm,23.4632mm,59.5192mm,22.1202mm,60.4352mm,B,270,ResPack
RP4,R1608[0603]_-_PACK4,31.3819mm,59.5692mm,31.3914mm,59.5192mm,30.0484mm,60.4352mm,B,270,ResPack
RP5,R1608[0603]_-_PACK4,39.31mm,59.5692mm,39.3195mm,59.5192mm,37.9766mm,60.4352mm,B,270,ResPack
RP6,R1608[0603]_-_PACK4,47.2382mm,59.5692mm,47.2477mm,59.5192mm,45.9047mm,60.4352mm,B,270,ResPack
RP7,R1608[0603]_-_PACK4,55.1664mm,59.5692mm,55.1759mm,59.5192mm,53.8329mm,60.4352mm,B,270,ResPack
RP8,R1608[0603]_-_PACK4,63.0946mm,59.5692mm,63.1041mm,59.5192mm,61.7611mm,60.4352mm,B,270,ResPack
RP9,R1608[0603]_-_PACK4,71.0228mm,59.5692mm,71.0323mm,59.5192mm,69.6893mm,60.4352mm,B,270,ResPack
RP10,R1608[0603]_-_PACK4,78.951mm,59.5692mm,78.9605mm,59.5192mm,77.6175mm,60.4352mm,B,270,ResPack
RP11,R1608[0603]_-_PACK4,86.8792mm,59.5692mm,86.8887mm,59.5192mm,85.5457mm,60.4352mm,B,270,ResPack
RP12,R1608[0603]_-_PACK4,94.8073mm,59.5692mm,94.8168mm,59.5192mm,93.4738mm,60.4352mm,B,270,ResPack
RP13,R1608[0603]_-_PACK4,102.7355mm,59.5692mm,102.745mm,59.5192mm,101.402mm,60.4352mm,B,270,ResPack
RP14,R1608[0603]_-_PACK4,110.6637mm,59.5692mm,110.6732mm,59.5192mm,109.3302mm,60.4352mm,B,270,ResPack
RP15,R1608[0603]_-_PACK4,118.5919mm,59.5692mm,118.6014mm,59.5192mm,117.2584mm,60.4352mm,B,270,ResPack
RP16,R1608[0603]_-_PACK4,126.5201mm,59.5692mm,126.5296mm,59.5192mm,125.1866mm,60.4352mm,B,270,ResPack
D1_64,D1608[0603]S,5.0922mm,63.0244mm,5.0922mm,63.0244mm,5.6225mm,63.5547mm,T,225,LED
D2_64,D1608[0603]S,7.0734mm,63.0244mm,7.0734mm,63.0244mm,7.6037mm,63.5547mm,T,225,LED
D3_64,D1608[0603]S,9.0546mm,63.0244mm,9.0546mm,63.0244mm,9.5849mm,63.5547mm,T,225,LED
D4_64,D1608[0603]S,11.0358mm,63.0244mm,11.0358mm,63.0244mm,11.5661mm,63.5547mm,T,225,LED
D5_64,D1608[0603]S,13.017mm,63.0244mm,13.017mm,63.0244mm,13.5473mm,63.5547mm,T,225,LED
D6_64,D1608[0603]S,14.9982mm,63.0244mm,14.9982mm,63.0244mm,15.5285mm,63.5547mm,T,225,LED
D7_64,D1608[0603]S,16.9794mm,63.0244mm,16.9794mm,63.0244mm,17.5097mm,63.5547mm,T,225,LED
D8_64,D1608[0603]S,18.9606mm,63.0244mm,18.9606mm,63.0244mm,19.4909mm,63.5547mm,T,225,LED
D9_64,D1608[0603]S,20.9418mm,63.0244mm,20.9418mm,63.0244mm,21.4721mm,63.5547mm,T,225,LED
D10_64,D1608[0603]S,22.923mm,63.0244mm,22.923mm,63.0244mm,23.4533mm,63.5547mm,T,225,LED
D11_64,D1608[0603]S,24.9042mm,63.0244mm,24.9042mm,63.0244mm,25.4345mm,63.5547mm,T,225,LED
D12_64,D1608[0603]S,26.8854mm,63.0244mm,26.8854mm,63.0244mm,27.4157mm,63.5547mm,T,225,LED
D13_64,D1608[0603]S,28.8666mm,63.0244mm,28.8666mm,63.0244mm,29.3969mm,63.5547mm,T,225,LED
D14_64,D1608[0603]S,30.8478mm,63.0244mm,30.8478mm,63.0244mm,31.3781mm,63.5547mm,T,225,LED
D15_64,D1608[0603]S,32.829mm,63.0244mm,32.829mm,63.0244mm,33.3593mm,63.5547mm,T,225,LED
D16_64,D1608[0603]S,34.8102mm,63.0244mm,34.8102mm,63.0244mm,35.3405mm,63.5547mm,T,225,LED
D17_64,D1608[0603]S,36.7914mm,63.0244mm,36.7914mm,63.0244mm,37.3217mm,63.5547mm,T,225,LED
D18_64,D1608[0603]S,38.7726mm,63.0244mm,38.7726mm,63.0244mm,39.3029mm,63.5547mm,T,225,LED
D19_64,D1608[0603]S,40.7538mm,63.0244mm,40.7538mm,63.0244mm,41.2841mm,63.5547mm,T,225,LED
D20_64,D1608[0603]S,42.735mm,63.0244mm,42.735mm,63.0244mm,43.2653mm,63.5547mm,T,225,LED
D21_64,D1608[0603]S,44.7162mm,63.0244mm,44.7162mm,63.0244mm,45.2465mm,63.5547mm,T,225,LED
D22_64,D1608[0603]S,46.6974mm,63.0244mm,46.6974mm,63.0244mm,47.2277mm,63.5547mm,T,225,LED
D23_64,D1608[0603]S,48.6786mm,63.0244mm,48.6786mm,63.0244mm,49.2089mm,63.5547mm,T,225,LED
D24_64,D1608[0603]S,50.6598mm,63.0244mm,50.6598mm,63.0244mm,51.1901mm,63.5547mm,T,225,LED
D25_64,D1608[0603]S,52.641mm,63.0244mm,52.641mm,63.0244mm,53.1713mm,63.5547mm,T,225,LED
D26_64,D1608[0603]S,54.6222mm,63.0244mm,54.6222mm,63.0244mm,55.1525mm,63.5547mm,T,225,LED
D27_64,D1608[0603]S,56.6034mm,63.0244mm,56.6034mm,63.0244mm,57.1337mm,63.5547mm,T,225,LED
D28_64,D1608[0603]S,58.5846mm,63.0244mm,58.5846mm,63.0244mm,59.1149mm,63.5547mm,T,225,LED
